algorithm, domain, instance, cost, generated, time, gen_per_sec 
dfid , pancake16 ,  "7 6 5 4 13 14 15 3 9 10 11 8 12 0 2 1 ", 9, 17179610925, 222.914, 7.70685e+07
dfid , pancake16 ,  "5 6 4 3 2 1 0 7 8 9 10 11 12 13 14 15 ", 2, 21, 3e-06, 7e+06
dfid , pancake16 ,  "7 8 9 6 5 4 3 2 1 0 10 11 12 13 14 15 ", 2, 39, 2e-06, 1.95e+07
dfid , pancake16 ,  "6 5 4 0 1 2 3 7 8 9 10 11 12 13 14 15 ", 2, 94, 6e-06, 1.56667e+07
dfid , pancake16 ,  "1 2 3 4 5 6 0 7 8 9 10 11 12 13 14 15 ", 2, 81, 5e-06, 1.62e+07
dfid , pancake16 ,  "13 12 11 10 9 8 0 1 7 6 5 4 3 2 14 15 ", 3, 2839, 6.4e-05, 4.43594e+07
dfid , pancake16 ,  "15 14 6 7 8 9 10 11 3 0 2 1 12 13 4 5 ", 8, 1768184920, 23.0167, 7.68217e+07
dfid , pancake16 ,  "4 7 14 0 10 15 8 11 9 6 3 1 13 2 5 12" ,NA, NA, NA, NA
dfid , pancake16 ,  "14 9 10 2 15 13 6 8 1 5 4 7 11 12 3 0" ,NA, NA, NA, NA
dfid , pancake16 ,  "0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ", 0, 0, 1e-06, 0
dfid , pancake16 ,  "13 14 0 8 5 6 2 11 12 7 3 1 9 10 15 4" ,NA, NA, NA, NA
dfid , pancake16 ,  "10 9 8 0 1 2 3 4 5 6 7 11 12 13 14 15 ", 2, 158, 9e-06, 1.75556e+07
dfid , pancake16 ,  "14 13 6 11 12 1 5 7 8 2 3 4 0 9 10 15" ,NA, NA, NA, NA
dfid , pancake16 ,  "0 1 2 3 4 5 12 13 11 10 9 8 7 6 14 15 ", 4, 40118, 0.000904, 4.43783e+07
dfid , pancake16 ,  "1 0 11 12 10 9 2 3 4 5 13 14 15 8 7 6 ", 7, 48032133, 0.553934, 8.67109e+07
dfid , pancake16 ,  "4 5 11 12 13 14 3 2 6 7 8 9 10 0 1 15 ", 6, 3490771, 0.048878, 7.1418e+07
dfid , pancake16 ,  "15 7 12 0 1 5 8 4 11 10 6 3 2 13 9 14" ,NA, NA, NA, NA
dfid , pancake16 ,  "1 7 11 4 3 10 8 5 12 2 13 9 15 6 0 14" ,NA, NA, NA, NA
dfid , pancake16 ,  "5 3 13 4 14 8 15 0 1 6 7 12 11 2 9 10" ,NA, NA, NA, NA
dfid , pancake16 ,  "13 12 8 1 3 9 15 14 11 5 2 6 7 0 4 10" ,NA, NA, NA, NA
dfid , pancake16 ,  "8 2 1 6 9 10 4 3 11 12 0 15 14 13 5 7" ,NA, NA, NA, NA
dfid , pancake16 ,  "12 14 4 10 1 9 2 5 8 6 0 3 15 7 11 13" ,NA, NA, NA, NA
dfid , pancake16 ,  "13 9 10 11 7 3 2 12 8 6 5 4 0 1 14 15" ,NA, NA, NA, NA
dfid , pancake16 ,  "3 6 12 1 7 13 11 5 0 14 15 10 9 8 2 4" ,NA, NA, NA, NA
dfid , pancake16 ,  "15 14 13 12 11 10 9 8 0 1 2 3 4 5 7 6 ", 3, 3201, 3.8e-05, 8.42368e+07
dfid , pancake16 ,  "5 6 7 8 4 3 2 1 0 9 10 11 12 13 14 15 ", 2, 53, 4e-06, 1.325e+07
dfid , pancake16 ,  "1 2 3 13 14 12 4 0 5 6 7 8 9 10 11 15 ", 6, 3643120, 0.064305, 5.66538e+07
dfid , pancake16 ,  "0 1 2 3 4 5 8 9 10 11 12 13 7 6 14 15 ", 4, 40178, 0.00062, 6.48032e+07
dfid , pancake16 ,  "0 4 11 10 9 5 6 13 15 3 2 12 8 1 14 7" ,NA, NA, NA, NA
dfid , pancake16 ,  "0 1 8 5 6 7 12 11 10 4 2 3 9 13 14 15 ", 8, 1444171253, 19.3905, 7.44781e+07
dfid , pancake16 ,  "10 11 9 8 7 6 0 5 1 2 3 4 12 13 14 15 ", 5, 74731, 0.000811, 9.21467e+07
dfid , pancake16 ,  "8 10 6 12 3 14 15 9 4 13 7 0 11 2 1 5" ,NA, NA, NA, NA
dfid , pancake16 ,  "5 9 14 8 2 6 4 3 7 13 12 10 11 15 1 0" ,NA, NA, NA, NA
dfid , pancake16 ,  "13 14 12 0 1 4 7 8 11 10 9 3 2 6 5 15 ", 8, 232182574, 3.07182, 7.55847e+07
dfid , pancake16 ,  "12 11 10 9 8 4 3 2 1 0 5 6 7 13 14 15 ", 3, 2656, 4.1e-05, 6.47805e+07
dfid , pancake16 ,  "7 6 5 4 3 8 9 10 11 12 2 1 0 13 14 15 ", 3, 990, 1.6e-05, 6.1875e+07
dfid , pancake16 ,  "5 11 7 13 12 8 1 0 2 10 9 4 14 6 15 3" ,NA, NA, NA, NA
dfid , pancake16 ,  "7 12 8 3 15 2 6 10 9 0 14 13 1 11 5 4" ,NA, NA, NA, NA
dfid , pancake16 ,  "1 0 9 10 5 8 7 11 6 2 3 4 12 13 14 15 ", 7, 66378254, 0.994541, 6.67426e+07
dfid , pancake16 ,  "11 0 14 10 5 2 13 8 12 3 6 7 15 1 9 4" ,NA, NA, NA, NA
dfid , pancake16 ,  "1 2 0 13 6 11 14 15 8 9 5 3 4 10 12 7" ,NA, NA, NA, NA
dfid , pancake16 ,  "3 1 6 4 7 0 2 12 15 10 14 13 5 11 9 8" ,NA, NA, NA, NA
dfid , pancake16 ,  "13 12 2 15 11 1 9 5 3 4 14 10 0 7 6 8" ,NA, NA, NA, NA
dfid , pancake16 ,  "4 2 1 8 5 0 9 13 6 14 3 11 10 15 12 7" ,NA, NA, NA, NA
dfid , pancake16 ,  "9 7 6 5 10 11 12 13 14 4 15 8 1 0 3 2" ,NA, NA, NA, NA
dfid , pancake16 ,  "2 1 11 10 9 6 7 8 12 13 5 0 3 4 14 15 ", 7, 95078614, 1.31544, 7.22791e+07
dfid , pancake16 ,  "9 4 5 6 15 7 8 3 11 12 0 10 2 1 13 14" ,NA, NA, NA, NA
dfid , pancake16 ,  "11 3 15 14 12 13 2 5 10 7 4 1 8 9 6 0" ,NA, NA, NA, NA
dfid , pancake16 ,  "15 13 12 11 10 9 8 14 0 1 2 3 4 5 6 7 ", 4, 46418, 0.001036, 4.4805e+07
dfid , pancake16 ,  "12 11 10 9 8 7 6 0 1 2 3 4 5 13 14 15 ", 2, 186, 5e-06, 3.72e+07
dfid , pancake16 ,  "11 8 5 4 7 0 2 1 14 10 12 15 6 13 3 9" ,NA, NA, NA, NA
dfid , pancake16 ,  "7 6 5 4 3 2 1 0 8 9 10 11 12 13 14 15 ", 1, 7, 3e-06, 2.33333e+06
dfid , pancake16 ,  "6 2 7 8 9 10 11 5 4 0 1 3 12 13 14 15 ", 6, 1022801, 0.024225, 4.22209e+07
dfid , pancake16 ,  "11 10 9 8 0 1 2 3 7 6 5 4 12 13 14 15 ", 3, 2387, 7.3e-05, 3.26986e+07
dfid , pancake16 ,  "2 1 0 8 12 11 9 10 3 4 7 6 5 13 14 15 ", 6, 4141622, 0.071694, 5.7768e+07
dfid , pancake16 ,  "13 12 11 10 0 1 2 3 4 5 6 7 8 9 14 15 ", 2, 205, 1.1e-05, 1.86364e+07
dfid , pancake16 ,  "12 13 11 10 9 8 7 6 5 4 3 2 1 0 14 15 ", 2, 28, 3e-06, 9.33333e+06
dfid , pancake16 ,  "2 3 4 5 6 7 8 9 10 11 1 0 12 13 14 15 ", 2, 146, 2e-05, 7.3e+06
