algorithm, heuristic, weight, domain, instance, cost, h0, generated, time, gen_per_sec
WIDA*, manhattan, 1.5, 15puzzle,"11 B 15 8 13 12 3 5 10 1 4 6 14 9 7 2", 63, 64.5, 308554, 0.0274511, 1.12401e+07
WIDA*, manhattan, 1.5, 15puzzle,"13 B 9 12 11 6 3 5 15 8 1 10 4 14 2 7", 53, 58.5, 69403, 0.00674379, 1.02914e+07
WIDA*, manhattan, 1.5, 15puzzle,"14 10 2 1 13 9 8 11 7 3 6 12 15 5 4 B", 66, 60, 239380626, 12.621, 1.89668e+07
WIDA*, manhattan, 1.5, 15puzzle,"12 3 9 1 4 5 10 2 6 11 15 B 14 7 13 8", 53, 46.5, 5457388, 0.296718, 1.83925e+07
WIDA*, manhattan, 1.5, 15puzzle,"15 8 10 7 B 12 14 1 5 9 6 3 13 11 4 2", 59, 55.5, 864442, 0.0593128, 1.45743e+07
WIDA*, manhattan, 1.5, 15puzzle,"4 7 13 10 1 2 9 6 12 8 14 5 3 B 11 15", 46, 48, 98639, 0.0117331, 8.40693e+06
WIDA*, manhattan, 1.5, 15puzzle,"6 B 5 10 11 12 9 2 1 7 4 3 14 8 13 15", 49, 52.5, 58554, 0.00458653, 1.27665e+07
WIDA*, manhattan, 1.5, 15puzzle,"9 5 11 10 13 B 2 1 8 6 14 12 4 7 3 15", 54, 51, 1248280, 0.0717991, 1.73857e+07
WIDA*, manhattan, 1.5, 15puzzle,"15 2 12 11 14 13 9 5 1 3 8 7 B 10 6 4", 65, 64.5, 11404955, 0.583765, 1.95369e+07
WIDA*, manhattan, 1.5, 15puzzle,"11 1 7 4 10 13 3 8 9 14 B 15 6 5 2 12", 56, 57, 1895174, 0.0985776, 1.92252e+07
WIDA*, manhattan, 1.5, 15puzzle,"5 4 7 1 11 12 14 15 10 13 8 6 2 B 9 3", 54, 54, 765527, 0.0412756, 1.85467e+07
WIDA*, manhattan, 1.5, 15puzzle,"9 7 5 2 14 15 12 10 11 3 6 1 8 13 B 4", 61, 61.5, 15956, 0.00248478, 6.42149e+06
WIDA*, manhattan, 1.5, 15puzzle,"3 2 7 9 B 15 12 4 6 11 5 14 8 13 10 1", 59, 55.5, 9912714, 0.515526, 1.92284e+07
WIDA*, manhattan, 1.5, 15puzzle,"13 9 14 6 12 8 1 2 3 4 B 7 5 10 11 15", 50, 51, 551833, 0.0363498, 1.51812e+07
WIDA*, manhattan, 1.5, 15puzzle,"5 7 11 8 B 14 9 13 10 12 3 15 6 1 4 2", 65, 67.5, 95571, 0.0053889, 1.77348e+07
WIDA*, manhattan, 1.5, 15puzzle,"4 3 6 13 7 15 9 B 10 5 8 11 2 12 1 14", 56, 51, 504293, 0.03231, 1.56079e+07
WIDA*, manhattan, 1.5, 15puzzle,"1 7 15 14 2 6 4 9 12 11 13 3 B 8 5 10", 51, 52.5, 1872610, 0.102229, 1.83178e+07
WIDA*, manhattan, 1.5, 15puzzle,"9 14 5 7 8 15 1 2 10 4 13 6 12 B 11 3", 48, 48, 152832, 0.0112754, 1.35545e+07
WIDA*, manhattan, 1.5, 15puzzle,"B 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6", 56, 51, 675881, 0.038392, 1.76047e+07
WIDA*, manhattan, 1.5, 15puzzle,"7 15 4 B 10 9 2 5 12 11 13 6 1 3 14 8", 61, 58.5, 2176689, 0.117742, 1.84869e+07
WIDA*, manhattan, 1.5, 15puzzle,"11 4 B 8 6 10 5 13 12 7 14 3 1 2 9 15", 58, 57, 473570, 0.0287132, 1.64931e+07
