algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
IDA*, gap, pancake28,"10 21 20 1 15 6 2 3 5 22 18 12 27 4 23 7 0 9 8 25 14 24 26 11 19 16 13 17", 26, 25, 153668, 0.035795, 4.293e+06
IDA*, gap, pancake28,"26 24 16 25 5 8 12 19 11 7 4 13 10 22 20 17 2 27 6 18 1 9 14 3 0 15 23 21", 29, 28, 151268, 0.032369, 4.67324e+06
IDA*, gap, pancake28,"9 16 23 17 27 0 13 8 6 5 10 14 7 26 2 3 18 25 12 11 15 4 24 1 20 22 21 19", 25, 24, 78968, 0.018447, 4.2808e+06
IDA*, gap, pancake28,"20 15 11 7 24 23 21 0 17 2 16 12 19 18 26 1 13 6 4 9 14 25 27 22 10 3 8 5", 27, 26, 218804, 0.044175, 4.95312e+06
IDA*, gap, pancake28,"18 22 11 19 3 13 27 1 12 26 5 21 10 23 15 25 2 20 14 24 9 17 8 16 0 6 7 4", 28, 27, 85227, 0.021113, 4.03671e+06
IDA*, gap, pancake28,"17 15 12 1 5 24 8 20 9 11 25 10 7 6 19 0 23 26 18 4 3 27 21 2 16 22 14 13", 26, 25, 36849, 0.012546, 2.93711e+06
IDA*, gap, pancake28,"22 9 19 1 12 0 5 4 2 10 15 21 11 24 6 16 25 3 18 26 7 20 13 23 8 17 14 27", 27, 26, 39198, 0.012943, 3.02851e+06
IDA*, gap, pancake28,"16 17 15 6 13 9 25 10 26 22 5 3 19 14 18 0 20 1 23 12 7 21 27 24 4 11 2 8", 27, 27, 6318, 0.002448, 2.58088e+06
IDA*, gap, pancake28,"6 2 19 23 11 16 8 12 20 21 0 1 5 13 17 10 24 4 18 22 7 15 26 25 27 9 3 14", 27, 25, 2539631, 0.571956, 4.44026e+06
IDA*, gap, pancake28,"1 18 9 22 19 12 16 11 26 20 13 14 5 25 24 17 6 2 10 0 4 21 7 8 15 23 27 3", 26, 25, 57613, 0.014244, 4.04472e+06
IDA*, gap, pancake28,"14 2 27 3 1 10 8 15 19 16 26 12 24 7 21 4 0 6 22 13 23 5 11 9 18 17 20 25", 28, 27, 748163, 0.145424, 5.1447e+06
IDA*, gap, pancake28,"5 27 18 10 4 22 19 13 9 2 0 26 8 1 17 7 25 11 21 20 15 16 12 6 23 24 3 14", 25, 25, 5414, 0.001682, 3.21879e+06
IDA*, gap, pancake28,"2 4 10 26 6 18 1 17 11 14 19 22 0 15 23 21 16 13 27 24 8 25 7 3 12 20 5 9", 29, 28, 95933, 0.015813, 6.06672e+06
IDA*, gap, pancake28,"7 25 2 26 11 24 1 0 4 8 10 19 18 5 27 17 13 21 15 6 14 9 12 3 16 23 22 20", 26, 25, 15305, 0.005467, 2.79952e+06
IDA*, gap, pancake28,"8 2 13 3 11 4 19 17 9 18 27 25 23 22 14 1 15 12 26 0 5 16 6 10 24 21 20 7", 26, 26, 20555, 0.006642, 3.0947e+06
IDA*, gap, pancake28,"6 12 7 17 15 20 3 24 16 18 8 10 21 22 9 19 4 0 11 27 2 26 13 1 25 14 23 5", 28, 27, 61117, 0.021358, 2.86155e+06
IDA*, gap, pancake28,"9 21 19 8 7 6 12 13 1 3 26 4 15 5 22 23 11 16 25 27 14 0 10 17 18 24 2 20", 24, 23, 6036, 0.001777, 3.39674e+06
IDA*, gap, pancake28,"11 17 27 4 21 2 23 16 26 7 24 18 6 25 19 1 0 10 9 15 12 5 13 8 14 3 22 20", 27, 26, 372406, 0.069296, 5.37413e+06
IDA*, gap, pancake28,"0 12 23 18 22 6 25 4 7 8 2 3 1 11 16 9 17 26 20 21 13 27 10 14 5 24 19 15", 26, 25, 224091, 0.050064, 4.47609e+06
IDA*, gap, pancake28,"8 3 11 9 2 21 23 24 1 13 19 27 6 5 7 17 22 10 14 25 26 15 18 4 20 0 12 16", 26, 25, 45325, 0.008696, 5.21217e+06
IDA*, gap, pancake28,"13 10 1 18 23 27 8 6 17 21 12 2 16 7 25 11 15 22 0 5 9 14 20 3 26 24 4 19", 29, 28, 96992, 0.025931, 3.74039e+06
IDA*, gap, pancake28,"8 7 12 24 25 5 23 4 13 0 27 18 14 19 16 2 15 1 21 26 20 6 10 3 22 11 9 17", 27, 26, 111770, 0.02611, 4.28074e+06
IDA*, gap, pancake28,"21 6 4 17 23 20 13 12 5 22 8 7 18 14 27 16 9 24 25 15 3 1 10 11 26 0 2 19", 25, 24, 239072, 0.052036, 4.59436e+06
IDA*, gap, pancake28,"5 27 25 16 15 20 22 8 24 14 18 26 6 11 21 9 3 4 17 19 7 10 23 13 0 12 2 1", 26, 25, 35692, 0.012392, 2.88025e+06
IDA*, gap, pancake28,"14 20 12 4 9 8 3 7 5 13 26 2 23 22 21 18 25 19 6 17 27 11 15 0 10 1 24 16", 26, 25, 38703, 0.012913, 2.99721e+06
IDA*, gap, pancake28,"3 19 10 21 26 16 23 24 5 7 18 22 11 8 15 1 4 20 9 12 0 2 27 25 14 13 17 6", 27, 26, 32663, 0.011573, 2.82235e+06
IDA*, gap, pancake28,"11 24 4 16 18 10 1 15 0 13 3 9 23 12 20 19 26 27 7 17 25 21 6 2 14 8 22 5", 27, 26, 1004939, 0.192372, 5.22394e+06
IDA*, gap, pancake28,"19 20 2 9 16 14 27 12 24 26 3 0 25 11 17 5 21 22 10 4 8 23 1 18 7 13 15 6", 27, 26, 50657, 0.015568, 3.25392e+06
IDA*, gap, pancake28,"3 26 4 6 22 14 25 11 13 21 0 17 10 5 7 24 19 9 2 23 1 15 12 18 20 8 16 27", 27, 27, 58537, 0.01597, 3.66544e+06
IDA*, gap, pancake28,"14 5 1 16 19 23 15 4 8 20 6 17 24 2 10 25 0 7 18 21 11 13 9 3 27 26 12 22", 28, 27, 603190, 0.137665, 4.38158e+06
IDA*, gap, pancake28,"25 14 11 17 3 9 7 26 5 1 0 21 20 8 24 18 10 16 27 23 4 6 15 22 19 2 12 13", 26, 25, 248960, 0.055414, 4.49273e+06
IDA*, gap, pancake28,"17 20 25 19 5 12 10 7 6 3 9 11 0 24 26 18 4 14 22 21 13 2 27 1 23 8 16 15", 26, 25, 108006, 0.018756, 5.75848e+06
IDA*, gap, pancake28,"4 14 3 11 7 12 0 21 19 1 8 27 16 10 9 18 25 13 20 17 22 23 5 2 24 6 15 26", 27, 26, 160675, 0.031143, 5.15927e+06
IDA*, gap, pancake28,"4 18 23 25 20 7 24 6 16 11 27 17 19 3 13 12 2 1 0 15 22 26 8 9 21 10 14 5", 25, 24, 36453, 0.012287, 2.96679e+06
IDA*, gap, pancake28,"15 0 5 23 20 4 1 10 16 7 24 26 25 27 9 14 13 8 18 11 2 22 6 12 17 3 21 19", 28, 26, 3976070, 0.783592, 5.07416e+06
IDA*, gap, pancake28,"21 3 13 20 26 23 16 17 18 25 4 6 15 1 9 5 19 7 0 27 24 22 10 2 12 14 8 11", 27, 26, 122500, 0.026386, 4.64261e+06
IDA*, gap, pancake28,"14 22 9 6 4 18 10 2 21 16 8 25 12 26 3 15 0 1 13 19 24 27 5 20 11 23 7 17", 28, 27, 204363, 0.039612, 5.15912e+06
IDA*, gap, pancake28,"8 24 1 27 14 10 22 2 17 12 9 26 13 16 6 23 25 21 0 7 19 3 20 15 18 4 5 11", 27, 27, 25574, 0.007811, 3.2741e+06
IDA*, gap, pancake28,"2 17 5 6 19 14 27 18 1 20 23 12 22 16 24 10 7 3 26 21 13 25 8 11 0 15 9 4", 27, 27, 75554, 0.022804, 3.31319e+06
IDA*, gap, pancake28,"21 26 24 16 14 10 8 0 4 19 17 2 11 6 23 1 20 18 9 5 3 25 15 7 27 22 12 13", 27, 27, 25239, 0.006255, 4.03501e+06
IDA*, gap, pancake28,"24 21 11 19 18 2 15 27 5 0 16 7 1 26 13 8 14 25 3 17 12 20 10 23 9 6 4 22", 28, 27, 91738, 0.024687, 3.71604e+06
IDA*, gap, pancake28,"15 12 0 5 10 20 25 26 4 14 11 9 19 6 21 13 27 3 1 2 23 18 17 7 24 16 8 22", 25, 25, 5317, 0.000667, 7.97151e+06
IDA*, gap, pancake28,"27 19 6 5 8 10 0 4 13 22 17 14 2 11 12 20 24 21 23 15 7 9 3 18 16 25 1 26", 27, 26, 35525, 0.005206, 6.82386e+06
IDA*, gap, pancake28,"17 24 15 3 16 9 10 13 11 2 6 12 1 5 18 8 19 25 0 4 7 23 27 22 20 26 14 21", 27, 27, 4752, 0.001514, 3.13871e+06
IDA*, gap, pancake28,"23 24 25 13 9 2 16 8 15 27 0 7 3 20 21 4 14 11 22 1 17 26 18 12 5 6 19 10", 25, 24, 47458, 0.014252, 3.32992e+06
IDA*, gap, pancake28,"2 11 18 5 21 25 13 0 22 7 9 16 26 1 14 4 8 24 23 6 15 12 3 17 20 27 19 10", 28, 27, 312719, 0.072862, 4.29194e+06
IDA*, gap, pancake28,"16 11 23 4 13 17 26 2 20 18 24 7 0 14 8 25 15 19 12 1 27 5 6 3 22 9 21 10", 27, 27, 15504, 0.005672, 2.73343e+06
IDA*, gap, pancake28,"1 20 18 25 12 22 11 4 7 8 21 26 5 14 9 10 0 13 23 3 15 17 27 16 19 6 2 24", 27, 26, 21158, 0.006826, 3.09962e+06
IDA*, gap, pancake28,"1 18 7 9 3 14 21 12 17 26 25 11 8 13 4 24 16 22 23 27 6 20 0 5 19 10 15 2", 27, 26, 424817, 0.084428, 5.03171e+06
IDA*, gap, pancake28,"20 2 16 9 10 6 7 1 4 22 15 5 3 19 17 18 27 14 8 12 24 13 23 0 11 26 21 25", 26, 25, 778046, 0.163142, 4.76913e+06
IDA*, gap, pancake28,"2 20 12 26 9 15 13 22 1 4 19 24 10 21 27 11 6 0 16 14 25 3 23 18 8 17 7 5", 28, 28, 19949, 0.005642, 3.5358e+06
IDA*, gap, pancake28,"1 11 25 17 15 2 24 7 21 10 6 22 16 4 13 19 0 20 14 12 3 23 18 5 8 9 26 27", 26, 25, 23647, 0.007295, 3.24154e+06
IDA*, gap, pancake28,"25 12 4 9 13 5 6 20 19 8 26 15 7 24 0 3 1 2 23 27 22 10 14 16 18 11 17 21", 25, 25, 9239, 0.002996, 3.08378e+06
IDA*, gap, pancake28,"9 8 21 27 24 1 7 3 13 14 12 17 5 22 15 18 16 20 10 0 4 26 2 25 11 19 6 23", 26, 26, 4924, 0.001561, 3.15439e+06
IDA*, gap, pancake28,"18 2 7 13 11 19 24 21 22 23 4 20 25 17 10 16 6 5 0 8 15 9 14 3 12 26 1 27", 25, 24, 11498, 0.003483, 3.30118e+06
IDA*, gap, pancake28,"26 19 21 9 1 5 22 16 0 18 23 4 27 3 6 11 25 13 8 17 24 2 15 20 12 7 10 14", 29, 28, 108034, 0.031129, 3.47053e+06
IDA*, gap, pancake28,"25 8 27 15 17 18 16 20 6 5 13 19 14 24 3 7 9 10 0 23 11 2 22 26 4 12 21 1", 26, 25, 135255, 0.031707, 4.26578e+06
IDA*, gap, pancake28,"1 27 15 9 6 5 19 4 3 18 21 20 26 17 22 8 23 16 0 13 25 11 2 12 14 10 7 24", 25, 25, 5633, 0.001711, 3.29223e+06
IDA*, gap, pancake28,"3 26 8 6 5 16 25 12 23 20 10 21 13 0 22 19 17 11 7 4 15 14 1 9 24 2 18 27", 26, 25, 22681, 0.007179, 3.15935e+06
IDA*, gap, pancake28,"25 3 27 14 20 0 19 17 6 21 1 15 22 4 10 5 12 24 7 8 26 11 2 9 16 13 23 18", 28, 27, 41808, 0.013698, 3.05212e+06
IDA*, gap, pancake28,"15 3 22 14 24 9 10 27 19 25 17 26 23 8 11 20 7 21 1 18 0 13 16 4 2 6 12 5", 27, 27, 12831, 0.005013, 2.55955e+06
IDA*, gap, pancake28,"15 17 6 27 1 19 20 16 23 3 12 0 25 22 18 5 4 10 14 24 26 13 2 8 21 7 11 9", 27, 26, 73938, 0.020287, 3.6446e+06
IDA*, gap, pancake28,"14 22 25 9 6 18 17 4 1 27 8 5 11 15 3 12 13 20 16 10 26 2 7 19 21 24 0 23", 27, 26, 14538, 0.005378, 2.70324e+06
IDA*, gap, pancake28,"15 22 8 23 17 5 25 19 24 6 11 3 21 4 26 1 27 16 14 7 2 20 13 0 9 10 18 12", 27, 27, 5191, 0.001592, 3.26068e+06
IDA*, gap, pancake28,"24 15 18 2 20 17 22 8 26 12 4 7 9 16 1 5 14 27 0 19 11 3 10 6 13 25 21 23", 29, 28, 147297, 0.033848, 4.35172e+06
IDA*, gap, pancake28,"16 15 19 25 23 7 17 22 5 4 0 24 9 14 11 10 1 18 13 3 6 26 2 27 8 20 12 21", 26, 25, 39860, 0.013321, 2.99227e+06
IDA*, gap, pancake28,"1 7 12 23 14 8 22 4 18 25 11 10 6 17 13 21 24 15 5 16 20 27 2 3 19 9 0 26", 26, 26, 16676, 0.005788, 2.88113e+06
IDA*, gap, pancake28,"5 4 21 23 14 20 0 10 13 9 16 1 22 2 25 27 12 8 17 6 26 7 24 19 3 18 11 15", 27, 27, 11488, 0.003595, 3.19555e+06
IDA*, gap, pancake28,"5 14 16 8 15 21 11 4 17 27 0 18 13 20 23 19 6 2 7 1 25 24 22 26 10 12 9 3", 27, 27, 9836, 0.003163, 3.10971e+06
IDA*, gap, pancake28,"2 22 24 16 6 10 27 14 5 20 21 13 4 25 23 0 17 11 7 12 8 3 26 1 19 9 18 15", 27, 27, 13366, 0.00511, 2.61566e+06
IDA*, gap, pancake28,"20 0 21 2 3 9 1 12 24 14 27 4 17 19 15 18 22 5 7 16 10 6 13 25 23 26 8 11", 28, 27, 73992, 0.020708, 3.57311e+06
IDA*, gap, pancake28,"25 15 11 14 4 12 7 8 10 21 19 3 18 2 0 6 22 24 5 1 13 16 9 27 20 17 26 23", 28, 27, 82037, 0.027654, 2.96655e+06
IDA*, gap, pancake28,"6 22 12 0 26 8 27 7 20 15 16 13 1 14 17 24 21 4 9 19 5 23 11 2 3 25 18 10", 27, 26, 13763, 0.005194, 2.64979e+06
IDA*, gap, pancake28,"15 0 6 9 8 25 2 16 26 1 14 12 13 5 27 23 17 11 10 20 4 21 24 7 19 22 18 3", 26, 25, 265555, 0.058134, 4.56798e+06
IDA*, gap, pancake28,"7 25 16 24 18 19 14 5 21 15 12 11 6 0 23 26 1 22 13 17 8 9 2 4 10 27 20 3", 25, 25, 577, 0.000129, 4.47287e+06
IDA*, gap, pancake28,"7 12 15 13 3 5 22 26 23 18 20 16 1 6 8 19 21 10 4 9 25 11 14 0 24 27 2 17", 28, 28, 67132, 0.02181, 3.07804e+06
IDA*, gap, pancake28,"18 5 4 14 24 12 17 20 22 27 2 3 26 9 16 0 10 11 6 21 8 25 15 23 1 19 7 13", 26, 25, 14160, 0.005274, 2.68487e+06
IDA*, gap, pancake28,"24 1 15 12 22 27 13 2 10 19 14 3 17 23 21 9 0 6 18 7 20 11 16 26 5 25 4 8", 28, 28, 2911, 0.000849, 3.42874e+06
IDA*, gap, pancake28,"27 16 2 6 11 24 8 25 15 14 20 17 26 23 12 9 13 5 0 1 7 10 22 19 18 21 3 4", 25, 24, 17988, 0.006031, 2.98259e+06
IDA*, gap, pancake28,"16 13 7 6 12 4 10 8 0 24 2 18 17 21 25 19 11 5 14 15 26 23 9 1 27 22 3 20", 26, 25, 79103, 0.025961, 3.04699e+06
IDA*, gap, pancake28,"19 17 22 25 26 10 5 13 23 0 16 21 3 24 15 7 27 1 14 20 6 4 9 12 11 2 8 18", 27, 26, 61413, 0.011919, 5.15253e+06
IDA*, gap, pancake28,"27 22 24 4 1 14 17 12 21 20 23 2 8 13 25 16 7 9 3 10 26 11 6 15 0 19 18 5", 27, 26, 264423, 0.056596, 4.67211e+06
IDA*, gap, pancake28,"25 3 9 0 4 21 19 15 23 17 6 18 11 24 16 7 20 8 13 14 12 1 26 2 10 27 5 22", 27, 27, 29411, 0.011094, 2.65107e+06
IDA*, gap, pancake28,"5 27 23 20 17 24 14 4 9 6 15 2 13 1 12 25 8 19 3 21 7 10 26 11 0 18 22 16", 29, 28, 244289, 0.062046, 3.93722e+06
IDA*, gap, pancake28,"2 26 17 23 3 16 20 15 12 7 13 19 24 11 5 10 21 27 1 9 0 25 14 6 22 8 18 4", 28, 28, 29998, 0.00686, 4.37289e+06
IDA*, gap, pancake28,"19 10 18 21 4 8 25 7 24 16 15 14 2 11 23 1 0 12 3 26 17 22 13 6 27 9 5 20", 26, 25, 222891, 0.044672, 4.9895e+06
IDA*, gap, pancake28,"27 13 21 26 14 11 16 2 7 9 4 10 8 25 6 24 17 20 15 22 23 12 5 3 19 18 1 0", 25, 25, 1772, 0.00061, 2.90492e+06
IDA*, gap, pancake28,"1 11 21 14 16 17 27 18 19 9 8 12 6 25 0 15 5 13 20 26 3 4 24 22 10 7 2 23", 25, 24, 34729, 0.012314, 2.82029e+06
IDA*, gap, pancake28,"13 27 7 16 24 25 8 12 0 26 22 14 2 15 4 23 9 21 19 18 1 17 20 6 5 3 10 11", 24, 24, 2174, 0.000661, 3.28896e+06
IDA*, gap, pancake28,"16 11 8 9 12 10 18 24 5 20 22 0 15 19 1 17 3 13 21 6 7 4 26 23 2 14 25 27", 25, 25, 9416, 0.003077, 3.06012e+06
IDA*, gap, pancake28,"7 16 13 3 22 6 5 19 24 11 8 25 21 14 4 9 1 10 17 20 15 23 27 2 12 26 18 0", 28, 27, 169952, 0.035925, 4.73074e+06
IDA*, gap, pancake28,"11 0 7 2 1 3 25 4 20 16 12 17 26 19 5 13 10 9 21 14 18 8 23 27 22 15 6 24", 27, 26, 91324, 0.025569, 3.57167e+06
IDA*, gap, pancake28,"4 22 23 2 14 6 20 18 27 21 3 15 16 17 1 12 10 24 11 13 5 9 19 25 26 7 0 8", 26, 24, 1174991, 0.262403, 4.47781e+06
IDA*, gap, pancake28,"7 5 27 2 22 16 25 26 13 23 3 17 15 21 12 24 10 9 14 19 1 4 8 0 18 20 6 11", 27, 26, 79060, 0.018448, 4.28556e+06
IDA*, gap, pancake28,"19 27 21 25 12 11 5 20 9 14 6 2 1 26 16 8 22 7 18 15 0 24 10 13 3 4 23 17", 26, 25, 795488, 0.152476, 5.21714e+06
IDA*, gap, pancake28,"4 24 26 18 23 7 2 3 6 0 12 8 15 25 21 17 5 1 13 22 16 10 20 27 11 14 9 19", 28, 27, 55923, 0.017056, 3.27879e+06
IDA*, gap, pancake28,"19 5 0 15 13 18 17 27 20 4 1 21 26 11 24 23 10 3 8 16 25 22 14 12 2 7 9 6", 27, 26, 152763, 0.026822, 5.69544e+06
IDA*, gap, pancake28,"24 14 2 0 18 6 25 22 7 5 10 12 16 1 11 20 19 8 4 13 21 23 27 3 15 17 26 9", 28, 27, 1241108, 0.26363, 4.70776e+06
IDA*, gap, pancake28,"8 13 27 2 3 10 0 26 15 18 21 12 4 6 17 14 16 23 24 7 9 25 1 11 20 19 5 22", 26, 25, 683101, 0.156569, 4.36294e+06
IDA*, gap, pancake28,"17 13 10 15 23 3 9 12 0 25 18 6 14 27 22 21 20 19 7 2 5 24 4 8 26 1 16 11", 25, 25, 281, 7e-05, 4.01429e+06
IDA*, gap, pancake28,"19 6 1 22 25 21 8 5 27 12 24 3 7 23 17 10 9 4 11 14 0 26 15 18 20 13 2 16", 28, 27, 44937, 0.011736, 3.82899e+06
IDA*, gap, pancake28,"24 6 5 2 18 4 23 15 22 14 11 27 26 17 10 20 16 3 8 13 7 1 21 19 25 12 0 9", 27, 26, 63874, 0.021004, 3.04104e+06
IDA*, gap, pancake28,"25 26 0 27 6 3 18 15 16 4 8 17 23 1 9 5 21 2 19 12 11 7 10 20 13 14 24 22", 25, 24, 83879, 0.022754, 3.68634e+06
IDA*, gap, pancake28,"21 14 1 10 22 18 2 25 8 27 15 6 5 12 0 24 17 4 20 19 11 23 13 7 3 16 26 9", 27, 26, 118757, 0.032449, 3.6598e+06
IDA*, gap, pancake28,"27 5 9 1 24 16 15 21 22 11 25 2 13 10 18 12 20 17 6 26 19 4 0 8 23 3 7 14", 26, 26, 17229, 0.006013, 2.86529e+06
IDA*, gap, pancake28,"25 3 14 12 1 16 20 21 24 15 2 23 6 11 22 17 10 13 8 0 19 7 18 5 27 9 4 26", 27, 27, 21509, 0.006811, 3.15798e+06
IDA*, gap, pancake28,"24 10 11 26 8 27 0 6 15 25 5 1 14 7 17 13 21 2 23 4 3 12 9 16 22 19 20 18", 26, 25, 84518, 0.025013, 3.37896e+06
IDA*, gap, pancake28,"1 12 25 22 14 4 3 24 27 11 2 5 21 6 9 26 7 19 17 18 13 8 0 15 16 20 10 23", 26, 25, 13253, 0.005112, 2.59253e+06
IDA*, gap, pancake28,"19 14 4 6 23 15 2 1 0 8 7 22 17 5 12 10 25 18 21 26 9 3 11 13 27 20 24 16", 26, 25, 359694, 0.077079, 4.66656e+06
IDA*, gap, pancake28,"21 1 16 17 15 14 20 27 25 4 8 22 24 9 10 11 6 23 5 13 0 19 18 12 2 7 3 26", 24, 23, 391731, 0.073386, 5.33795e+06
IDA*, gap, pancake28,"7 18 27 20 11 8 9 15 3 26 16 5 14 21 4 23 2 1 22 25 0 13 10 6 17 19 12 24", 26, 26, 20276, 0.006645, 3.05132e+06
IDA*, gap, pancake28,"5 19 11 16 0 18 8 25 27 21 2 24 20 7 9 10 1 22 6 15 26 23 4 14 13 17 12 3", 26, 26, 3527, 0.001278, 2.75978e+06
IDA*, gap, pancake28,"27 0 24 8 18 4 9 2 14 21 1 11 22 20 10 19 25 7 12 23 6 5 26 16 13 15 17 3", 28, 27, 495027, 0.098856, 5.00756e+06
IDA*, gap, pancake28,"26 24 17 7 21 4 20 14 13 10 3 27 9 16 18 1 23 19 2 15 8 12 0 5 22 6 25 11", 27, 27, 4494, 0.001461, 3.07598e+06
IDA*, gap, pancake28,"15 3 2 19 11 14 13 22 26 20 17 1 0 6 16 12 7 24 9 4 21 8 27 18 5 23 10 25", 26, 25, 15472, 0.005645, 2.74083e+06
IDA*, gap, pancake28,"4 18 2 24 21 14 17 13 7 15 26 22 19 6 27 1 11 25 20 0 10 8 3 12 5 9 23 16", 29, 28, 78720, 0.024542, 3.20756e+06
IDA*, gap, pancake28,"15 5 7 24 4 3 18 1 13 17 10 26 16 22 19 25 14 6 27 2 8 11 0 20 23 9 12 21", 28, 27, 210739, 0.045807, 4.60059e+06
IDA*, gap, pancake28,"20 9 2 16 25 13 10 14 0 21 24 22 17 11 3 6 18 1 15 26 27 5 23 8 7 19 12 4", 27, 26, 57882, 0.022515, 2.57082e+06
IDA*, gap, pancake28,"23 24 21 10 12 2 18 16 19 27 13 20 11 17 6 1 3 7 4 14 0 15 8 5 25 9 26 22", 27, 27, 40955, 0.013349, 3.06802e+06
IDA*, gap, pancake28,"10 5 7 18 13 3 19 16 20 8 15 12 6 21 1 22 9 25 27 23 14 24 0 17 4 2 26 11", 28, 28, 111691, 0.032669, 3.41887e+06
IDA*, gap, pancake28,"7 23 25 22 0 1 26 11 6 14 17 5 16 20 2 4 21 18 12 19 3 13 9 15 24 8 27 10", 27, 27, 27306, 0.010618, 2.57167e+06
IDA*, gap, pancake28,"7 10 8 1 9 2 24 5 12 25 20 6 26 14 17 4 19 0 18 13 22 27 3 11 16 23 21 15", 29, 28, 416054, 0.084921, 4.89931e+06
IDA*, gap, pancake28,"1 3 15 9 13 11 17 22 21 26 18 24 25 20 8 6 7 2 23 27 19 12 10 4 16 14 0 5", 26, 25, 43254, 0.014306, 3.02349e+06
IDA*, gap, pancake28,"24 7 10 15 22 9 13 19 1 4 0 27 14 23 11 6 20 12 5 25 2 18 8 16 3 17 21 26", 28, 28, 2068, 0.000655, 3.15725e+06
IDA*, gap, pancake28,"4 13 15 11 1 8 14 19 7 2 20 17 3 18 9 6 12 22 21 10 5 25 16 0 26 27 24 23", 26, 25, 43384, 0.014185, 3.05844e+06
IDA*, gap, pancake28,"2 24 20 27 22 19 7 8 0 21 6 13 4 3 15 16 5 17 25 14 23 26 12 9 11 10 18 1", 25, 24, 330987, 0.065909, 5.02188e+06
IDA*, gap, pancake28,"26 1 6 21 14 3 22 8 10 5 27 7 12 18 2 19 11 13 15 20 0 23 9 17 4 16 24 25", 28, 27, 40660, 0.013702, 2.96745e+06
