 dfid , topSpinCompact16_4 , "12 2 11 5 6 1 14 13 10 4 3 9 8 7 0 15", na, na, na, na
 dfid , topSpinCompact16_4 , "3 4 6 5 7 8 11 10 9 12 13 14 2 1 0 15", 6, 388826, 0.005644, 6.88919e+07
 dfid , topSpinCompact16_4 , "14 13 12 0 1 2 3 4 5 9 8 7 6 10 11 15", 2, 155, 4e-06, 3.875e+07
 dfid , topSpinCompact16_4 , "3 12 13 14 4 0 5 2 1 7 10 9 8 6 11 15", 8, 14991774, 0.302202, 4.96085e+07
 dfid , topSpinCompact16_4 , "4 5 1 11 7 6 2 10 3 13 8 9 0 12 14 15", 8, 35607031, 0.760309, 4.68323e+07
 dfid , topSpinCompact16_4 , "7 11 5 2 0 4 8 3 1 6 10 14 12 13 9 15", na, na, na, na
 dfid , topSpinCompact16_4 , "2 9 5 4 11 10 0 12 7 6 1 13 3 8 14 15", 8, 50827130, 0.745102, 6.8215e+07
 dfid , topSpinCompact16_4 , "0 1 2 3 4 8 5 9 10 7 6 14 13 12 11 15", 4, 10961, 0.00019, 5.76895e+07
 dfid , topSpinCompact16_4 , "14 13 1 6 5 2 3 7 4 8 9 10 11 12 0 15", 4, 8337, 0.000135, 6.17556e+07
 dfid , topSpinCompact16_4 , "0 13 9 5 12 2 3 4 1 8 10 11 6 7 14 15", 10, 754052644, 12.0986, 6.23257e+07
 dfid , topSpinCompact16_4 , "5 6 1 10 9 13 12 11 0 3 2 14 7 8 4 15", 8, 9176792, 0.130429, 7.03585e+07
 dfid , topSpinCompact16_4 , "14 1 0 8 5 2 4 3 7 6 12 13 9 11 10 15", 10, 1405735371, 21.4226, 6.56193e+07
 dfid , topSpinCompact16_4 , "14 11 13 5 3 12 2 8 10 9 4 0 1 6 7 15", na, na, na, na
 dfid , topSpinCompact16_4 , "6 9 0 1 5 4 3 2 7 13 8 12 11 14 10 15", 10, 2835834895, 46.8634, 6.05128e+07
 dfid , topSpinCompact16_4 , "14 10 1 2 3 4 8 9 5 6 7 13 12 11 0 15", 4, 11928, 0.00018, 6.62667e+07
 dfid , topSpinCompact16_4 , "5 6 7 3 4 11 10 9 8 12 13 14 2 1 0 15", 4, 1964, 3.4e-05, 5.77647e+07
 dfid , topSpinCompact16_4 , "0 1 2 3 4 11 7 6 5 8 12 13 10 9 14 15", 4, 10130, 0.00019, 5.33158e+07
 dfid , topSpinCompact16_4 , "2 5 4 3 1 13 12 11 9 8 7 10 14 0 6 15", 10, 938676619, 16.0751, 5.83932e+07
 dfid , topSpinCompact16_4 , "13 11 12 4 3 1 0 2 14 5 6 7 10 9 8 15", 8, 74048079, 1.14585, 6.4623e+07
 dfid , topSpinCompact16_4 , "9 7 12 11 13 2 0 14 10 5 4 3 8 1 6 15", na, na, na, na
 dfid , topSpinCompact16_4 , "3 14 8 1 0 2 13 11 7 12 10 4 9 6 5 15", na, na, na, na
