grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
2, dfid, 11puzzle , "5 4 2 13 11 14 15 10 9 3 6 8 1 12 0 7", na, na, na, na
2, dfid, 11puzzle , "4 3 2 1 0 5 13 12 11 10 9 8 7 6 14 15", 4, 14677, 0.001603, 9.15596e+06
2, dfid, 11puzzle , "6 5 4 3 0 1 2 7 8 9 10 11 12 13 14 15", 2, 93, 1.1e-05, 8.45455e+06
2, dfid, 11puzzle , "2 3 6 4 14 12 13 10 5 15 1 7 0 8 9 11", na, na, na, na
2, dfid, 11puzzle , "4 5 6 3 2 1 0 14 9 10 11 12 13 8 7 15", 6, 1486581, 0.047824, 3.10844e+07
2, dfid, 11puzzle , "6 7 8 9 10 11 12 13 14 5 4 3 0 1 2 15", 3, 1900, 0.00019, 1e+07
2, dfid, 11puzzle , "4 3 11 1 7 6 5 0 12 13 2 14 10 9 8 15", na, na, na, na
2, dfid, 11puzzle , "7 15 14 1 0 8 9 10 11 5 6 12 2 4 3 13", na, na, na, na
2, dfid, 11puzzle , "0 3 12 13 14 11 10 9 8 7 6 5 4 2 1 15", 6, 2922199, 0.078581, 3.71871e+07
2, dfid, 11puzzle , "7 6 5 4 13 14 15 3 9 10 11 8 12 0 2 1", na, na, na, na
2, dfid, 11puzzle , "5 6 4 3 2 1 0 7 8 9 10 11 12 13 14 15", 2, 21, 4e-06, 5.25e+06
2, dfid, 11puzzle , "7 8 9 6 5 4 3 2 1 0 10 11 12 13 14 15", 2, 39, 5e-06, 7.8e+06
2, dfid, 11puzzle , "6 5 4 0 1 2 3 7 8 9 10 11 12 13 14 15", 2, 94, 1e-05, 9.4e+06
2, dfid, 11puzzle , "1 2 3 4 5 6 0 7 8 9 10 11 12 13 14 15", 2, 81, 7e-06, 1.15714e+07
2, dfid, 11puzzle , "13 12 11 10 9 8 0 1 7 6 5 4 3 2 14 15", 3, 2839, 0.000144, 1.97153e+07
2, dfid, 11puzzle , "15 14 6 7 8 9 10 11 3 0 2 1 12 13 4 5", na, na, na, na
2, dfid, 11puzzle , "4 7 14 0 10 15 8 11 9 6 3 1 13 2 5 12", na, na, na, na
2, dfid, 11puzzle , "14 9 10 2 15 13 6 8 1 5 4 7 11 12 3 0", na, na, na, na
2, dfid, 11puzzle , "0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15", 0, 0, 2e-06, 0
2, dfid, 11puzzle , "13 14 0 8 5 6 2 11 12 7 3 1 9 10 15 4", na, na, na, na
2, dfid, 11puzzle , "10 9 8 0 1 2 3 4 5 6 7 11 12 13 14 15", 2, 158, 1e-05, 1.58e+07
2, dfid, 11puzzle , "14 13 6 11 12 1 5 7 8 2 3 4 0 9 10 15", na, na, na, na
2, dfid, 11puzzle , "0 1 2 3 4 5 12 13 11 10 9 8 7 6 14 15", 4, 40118, 0.001129, 3.55341e+07
2, dfid, 11puzzle , "1 0 11 12 10 9 2 3 4 5 13 14 15 8 7 6", 7, 48032133, 1.29518, 3.70854e+07
2, dfid, 11puzzle , "4 5 11 12 13 14 3 2 6 7 8 9 10 0 1 15", 6, 3490771, 0.09189, 3.79886e+07
2, dfid, 11puzzle , "15 7 12 0 1 5 8 4 11 10 6 3 2 13 9 14", na, na, na, na
2, dfid, 11puzzle , "1 7 11 4 3 10 8 5 12 2 13 9 15 6 0 14", na, na, na, na
2, dfid, 11puzzle , "5 3 13 4 14 8 15 0 1 6 7 12 11 2 9 10", na, na, na, na
2, dfid, 11puzzle , "13 12 8 1 3 9 15 14 11 5 2 6 7 0 4 10", na, na, na, na
2, dfid, 11puzzle , "8 2 1 6 9 10 4 3 11 12 0 15 14 13 5 7", na, na, na, na
2, dfid, 11puzzle , "12 14 4 10 1 9 2 5 8 6 0 3 15 7 11 13", na, na, na, na
2, dfid, 11puzzle , "13 9 10 11 7 3 2 12 8 6 5 4 0 1 14 15", na, na, na, na
2, dfid, 11puzzle , "3 6 12 1 7 13 11 5 0 14 15 10 9 8 2 4", na, na, na, na
2, dfid, 11puzzle , "15 14 13 12 11 10 9 8 0 1 2 3 4 5 7 6", 3, 3201, 0.000458, 6.98908e+06
2, dfid, 11puzzle , "5 6 7 8 4 3 2 1 0 9 10 11 12 13 14 15", 2, 53, 5e-06, 1.06e+07
2, dfid, 11puzzle , "1 2 3 13 14 12 4 0 5 6 7 8 9 10 11 15", 6, 3643120, 0.102664, 3.54859e+07
